zone_id,zone_name,latitude,longitude,hospital_dependency,water_supply_dependency,heat_risk,vulnerable_resident_index,critical_facility_dependency,outage_duration_hours,medical_facility_count,water_facility_count,population_exposed,building_density,road_access_constraint,backup_power_coverage,recent_outage_count,service_area_km2
OUT-001,Central Medical District,18.5204,73.8567,96,92,88,74,95,82,5,18,92,86,35,14,12,2.1
OUT-002,Riverbank Residential,18.5074,73.8077,42,30,72,68,44,55,4,10,61,73,78,7,20,4.2
OUT-003,Civic Water Works,18.531,73.844,76,98,80,64,88,91,3,22,84,89,52,11,28,2.8
OUT-004,Industrial East,18.5631,73.9125,18,12,46,35,26,38,12,31,39,82,91,5,16,5.1
OUT-005,Senior Housing Cluster,18.4892,73.8781,67,24,94,83,58,71,6,16,77,68,43,13,25,3.6
OUT-006,Hillview Community,18.559,73.7997,28,18,63,52,31,46,8,9,55,64,69,6,18,6.0
OUT-007,Market & Transit Core,18.5166,73.8562,54,45,69,61,62,66,10,27,72,91,58,8,22,2.7
OUT-008,University Zone,18.5466,73.8955,38,34,76,59,49,57,5,12,67,71,63,9,19,3.9
OUT-009,Suburban Clinic Belt,18.536,73.895,61,29,85,72,57,63,4,14,70,59,49,10,23,4.5
OUT-010,West Water Pumping,18.498,73.824,72,91,71,58,83,79,3,20,81,75,54,12,27,3.1
OUT-011,Dense Rental District,18.5308,73.847,49,16,90,77,45,69,7,24,74,94,81,15,31,2.3
OUT-012,Peripheral Village,18.4618,73.817,22,9,39,42,21,35,9,6,47,38,88,4,13,7.4
